Language,Gender,Speaker,Sentence,Vowel_type,Vowel,seg_Start,seg_End,V_duration,F0_Mean,F0_1,F0_2,F0_3,H1_Mean,H1_1,H1_2,H1_3,H2_Mean,H2_1,H2_2,H2_3,H1H2_Mean,H1H2_1,H1H2_2,H1H2_3,H2H4_Mean,H2H4_1,H2H4_2,H2H4_3,H1A1_Mean,H1A1_1,H1A1_2,H1A1_3,H1A2_Mean,H1A2_1,H1A2_2,H1A2_3,H1A3_Mean,H1A3_1,H1A3_2,H1A3_3,CPP_Mean,CPP_1,CPP_2,CPP_3,CQ_H_Mean,CQ_H_1,CQ_H_2,CQ_H_3,peak_Vel_Mean,peak_Vel_1,peak_Vel_2,peak_Vel_3
English,Female,AF_01,P11_E,High,KIT,766.985,971.119,204.134,202.931,259.071,220.556,129.819,14.606,14.625,15.824,13.407,4.597,1.399,3.902,8.53,10.008,13.226,11.922,4.877,1.892,-2.676,-2.002,10.346,18.045,15.594,17.623,20.889,20.117,18.521,20.545,21.322,23.645,24.248,20.455,26.198,23.257,22.744,23.746,23.3,0.652,0.58,0.555,0.821,395.965,570.701,415.475,201.718
English,Female,AF_01,P13_E,High,FLEECE,847.122,1054.715,207.593,163.304,208.196,110.926,170.642,8.763,10.015,9.186,7.089,2.067,-8.866,5.587,9.449,6.696,18.881,3.599,-2.36,4.058,-1.49,7.334,6.323,14.035,24.367,11.665,6.103,18.52,23.668,17.242,14.655,25.515,30.555,24.407,21.555,19.965,17.645,24.195,18.039,0.752,0.612,0.851,0.779,279.663,325.919,254.251,263.513
English,Female,AF_01,P14_E,High,KIT,1185.961,1400.474,214.513,184.788,198.576,170.658,185.072,13.657,15.442,14.741,10.804,3.773,3.738,08.03,-0.399,9.884,11.704,6.712,11.202,1.938,-0.144,6.852,-0.816,19.965,19.102,20.595,20.286,20.983,21.489,22.105,19.374,21.874,19.993,22.498,23.177,22.623,24.201,24.053,19.641,0.57,0.447,0.576,0.68,289.38,403.23,228.42,240.386
English,Female,AF_01,P1_E,Low,TRAP,1185.875,1428.068,242.193,158.3,201.987,177.277,95.609,5.355,7.428,3.362,5.276,7.226,8.699,4.181,8.7,-1.871,-1.271,-0.82,-3.424,-6.144,-6.548,-13.477,1.427,10.959,13.227,8.97,10.68,07.04,7.587,5.186,8.335,9.446,11.466,7.275,9.57,23.052,25.004,21.231,22.901,0.742,0.682,0.795,0.75,188.492,208.805,174.265,182.405
English,Female,AF_01,P21_E,High,FLEECE,915.827,1178.779,262.952,210.959,223.684,201.586,207.644,10.672,15.682,12.128,4.293,-4.273,-9.654,-8.659,5.413,14.945,25.336,20.786,-1.12,-2.031,-5.759,-4.521,4.141,18.901,28.984,21.732,6.129,22.337,28.317,21.693,17.06,28.449,33.466,31.306,20.639,20.432,22.663,22.746,15.897,0.678,0.574,0.681,0.775,345.52,498.512,290.767,253.185
English,Female,AF_01,P22_E,High,FLEECE,1223.269,1495.678,272.409,221.375,254.808,217.496,191.745,4.588,5.795,6.607,1.391,9.763,12.473,13.52,3.345,-5.175,-6.679,-6.913,-1.954,4.019,3.051,5.474,3.55,1.438,0.181,0.672,3.465,9.286,5.537,7.586,14.676,16.019,11.428,18.791,17.772,19.146,23.742,18.947,14.774,0.67,0.574,0.683,0.753,364.736,581.76,300.271,216.662
English,Female,AF_01,P2_E,High,KIT,782.336,977.532,195.196,144.915,225.978,136.589,73.2,10.323,15.378,10.97,4.762,5.015,0.772,4.177,10.046,5.308,14.606,6.794,-5.284,2.076,-3.947,0.122,9.941,15.665,18.019,17.148,11.928,17.43,20.768,18.331,13.288,18.323,20.689,17.925,16.391,21.884,22.539,22.903,20.259,0.641,0.523,0.671,0.729,248.232,321.02,214.826,209.971
English,Female,AF_01,P5_E,High,KIT,1006.505,1231.012,224.507,125.344,206.771,87.773,82.744,7.194,12.863,11.698,-2.811,2.212,-0.439,10.467,-3.374,4.982,13.302,1.231,0.563,1.477,-3.722,5.781,2.431,12.501,18.698,17.341,1.744,18.732,20.201,20.672,15.397,19.818,21.265,23.494,14.859,20.914,22.574,21.758,18.413,0.727,0.603,0.797,0.788,207.168,238.767,175.013,209.443
English,Female,AF_01,P6_E,Low,TRAP,1436.565,1706.869,270.304,190.018,238.515,185.164,145.899,14.122,17.711,13.726,10.949,9.385,10.22,7.99,9.983,4.737,7.49,5.737,0.966,15.47,18.962,18.211,9.281,29.129,32.201,28.071,27.148,29.133,31.576,28.321,27.539,25.258,26.865,25.71,23.222,24.318,27.388,23.564,22.016,0.617,0.524,0.633,0.695,338.144,515.736,275.469,223.229
English,Female,AF_01,P7_E,High,FLEECE,1103.843,1303.979,200.136,150.174,204.432,120.685,125.135,9.147,12.101,9.932,5.443,2.962,-5.448,5.214,9.073,6.186,17.549,4.718,-3.63,0.408,-3.603,4.121,0.772,12.048,19.495,12.694,4.046,18.608,23.136,19.919,12.911,28.307,29.875,29.901,25.33,19.241,17.264,21.818,18.692,0.775,0.672,0.863,0.789,236.354,251.103,238.952,218.745
English,Female,AF_04,P11_E,High,KIT,763.286,881.812,118.526,70.509,65.486,66.387,79.394,-1.595,-6.19,0.795,0.76,0.492,-3.099,4.145,0.648,-2.087,-3.091,-3.349,0.112,2.638,-0.728,5.914,2.914,2.794,-1.739,4.245,5.987,12.357,6.965,14.573,15.627,14.458,6.269,13.895,23.192,18.747,18.499,18.73,19,0.841,0.858,0.767,0.955,120.637,114.643,121.35,130.3
English,Female,AF_04,P13_E,High,FLEECE,862.961,1010.514,147.553,176.587,180.887,173.527,175.23,1.511,-3.175,4.238,3.514,-1.809,-6.551,-0.752,1.877,3.32,3.376,4.99,1.637,4.849,3.368,4.451,6.714,14.662,12.851,16.232,14.888,17.647,14.791,19.632,18.53,19.949,13.969,22.703,23.225,17.782,17.034,16.503,19.745,0.813,0.794,0.808,0.833,120.215,127.353,122.392,112.504
English,Female,AF_04,P16_E,High,GOOSE,711.801,898.055,186.254,99.714,126.502,85.568,86.697,1.843,3.874,0.457,1.172,7.268,6.55,9.125,6.186,-5.424,-2.676,-8.669,-5.014,0.93,-0.149,-0.616,0.759,-5.12,-3.337,-8.246,-3.858,17.589,17.25,16.252,19.237,13.645,15.44,9.433,16.026,17.218,16.301,17.803,17.566,0.809,0.841,0.816,0.748,115.487,118.49,114.985,111.51
