Language,Speaker,Sentence,Gender_MS,Model_Speaker,VQ,Pleasant,Attractive,Powerful,Educated
English,S1,P5,Female,AF_01,NC,3,2,2,4
English,S1,P2,Female,AF_01,C,4,4,3,6
English,S1,P2,Female,AF_01,NC,5,4,3,6
English,S1,P6,Female,AF_01,C,5,3,4,6
English,S1,P5,Female,AF_01,C,6,5,3,6
English,S1,P6,Female,AF_01,NC,6,5,4,6
English,S2,P6,Female,AF_01,NC,4,2,2,3
English,S2,P5,Female,AF_01,NC,1,1,3,4
English,S2,P6,Female,AF_01,C,3,2,3,3
English,S2,P2,Female,AF_01,C,4,4,5,5
English,S2,P5,Female,AF_01,C,4,3,4,5
English,S2,P2,Female,AF_01,NC,3,3,3,4
English,S3,P2,Female,AF_01,NC,4,4,3,4
English,S3,P6,Female,AF_01,C,3,3,4,3
English,S3,P6,Female,AF_01,NC,4,4,4,3
English,S3,P5,Female,AF_01,NC,3,3,4,3
English,S3,P2,Female,AF_01,C,3,3,3,3
English,S3,P5,Female,AF_01,C,3,2,4,3
English,S4,P6,Female,AF_01,NC,5,5,5,4
English,S4,P2,Female,AF_01,NC,6,6,4,5
English,S4,P2,Female,AF_01,C,6,6,4,5
English,S4,P5,Female,AF_01,C,6,6,5,5
English,S4,P6,Female,AF_01,C,5,5,5,5
English,S4,P5,Female,AF_01,NC,5,5,4,5
English,S6,P6,Female,AF_01,C,3,3,3,3
English,S6,P6,Female,AF_01,NC,4,3,4,3
English,S6,P5,Female,AF_01,C,4,3,4,2
English,S6,P5,Female,AF_01,NC,3,3,5,2
English,S6,P2,Female,AF_01,C,4,3,4,3
English,S6,P2,Female,AF_01,NC,4,3,5,4
English,S7,P2,Female,AF_01,NC,5,4,4,4
English,S7,P5,Female,AF_01,NC,4,4,4,4
English,S7,P6,Female,AF_01,C,3,3,4,4
English,S7,P2,Female,AF_01,C,4,3,4,5
English,S7,P5,Female,AF_01,C,4,4,3,4
English,S7,P6,Female,AF_01,NC,4,3,5,4
English,S8,P5,Female,AF_01,NC,4,4,4,2
English,S8,P6,Female,AF_01,NC,6,4,6,6
English,S8,P2,Female,AF_01,C,5,4,5,4
English,S8,P2,Female,AF_01,NC,5,4,4,4
English,S8,P5,Female,AF_01,C,5,3,4,3
English,S8,P6,Female,AF_01,C,4,3,5,5
English,S10,P6,Female,AF_01,NC,6,3,5,6
English,S10,P6,Female,AF_01,C,6,4,5,5
English,S10,P5,Female,AF_01,NC,5,4,4,4
English,S10,P5,Female,AF_01,C,5,5,5,6
English,S10,P2,Female,AF_01,C,6,5,5,5
English,S10,P2,Female,AF_01,NC,6,5,5,5
English,S13,P5,Female,AF_01,C,4,3,2,4
English,S13,P2,Female,AF_01,C,4,3,3,5
English,S13,P5,Female,AF_01,NC,2,2,2,4
English,S13,P2,Female,AF_01,NC,3,3,3,5
English,S13,P6,Female,AF_01,NC,4,4,3,4
English,S13,P6,Female,AF_01,C,4,3,4,4
English,S14,P2,Female,AF_01,C,3,2,3,3
English,S14,P6,Female,AF_01,C,2,2,4,3
English,S14,P6,Female,AF_01,NC,3,2,4,3
English,S14,P2,Female,AF_01,NC,4,2,2,4
English,S14,P5,Female,AF_01,NC,3,1,3,4
English,S14,P5,Female,AF_01,C,3,1,3,4
English,S15,P6,Female,AF_01,C,4,4,6,6
English,S15,P2,Female,AF_01,C,4,5,6,6
English,S15,P6,Female,AF_01,NC,3,4,6,6
English,S15,P2,Female,AF_01,NC,6,6,6,5
English,S15,P5,Female,AF_01,NC,5,6,5,5
English,S15,P5,Female,AF_01,C,4,5,5,5
English,S16,P6,Female,AF_01,C,2,1,1,6
English,S16,P5,Female,AF_01,NC,6,5,4,5
English,S16,P6,Female,AF_01,NC,5,5,5,6
English,S16,P2,Female,AF_01,NC,4,2,3,4
English,S16,P5,Female,AF_01,C,5,4,3,4
English,S16,P2,Female,AF_01,C,6,6,3,4
English,S17,P6,Female,AF_01,C,1,2,2,3
English,S17,P5,Female,AF_01,NC,3,1,4,6
English,S17,P2,Female,AF_01,NC,2,2,2,4
English,S17,P5,Female,AF_01,C,2,2,1,3
English,S17,P6,Female,AF_01,NC,3,3,2,2
English,S17,P2,Female,AF_01,C,2,2,2,3
English,S20,P2,Female,AF_01,C,6,4,4,3
English,S20,P5,Female,AF_01,C,5,5,5,3
English,S20,P6,Female,AF_01,C,6,5,4,3
English,S20,P2,Female,AF_01,NC,6,4,4,4
English,S20,P6,Female,AF_01,NC,6,5,5,5
English,S20,P5,Female,AF_01,NC,6,5,5,4
English,S22,P6,Female,AF_01,C,2,1,4,3
English,S22,P2,Female,AF_01,NC,6,6,3,5
English,S22,P6,Female,AF_01,NC,2,1,3,3
English,S22,P5,Female,AF_01,NC,2,1,3,3
English,S22,P5,Female,AF_01,C,3,2,3,3
English,S22,P2,Female,AF_01,C,3,2,3,4
English,S23,P5,Female,AF_01,NC,4,2,3,3
English,S23,P6,Female,AF_01,NC,2,2,2,3
English,S23,P5,Female,AF_01,C,4,4,4,5
English,S23,P2,Female,AF_01,NC,4,2,2,3
English,S23,P6,Female,AF_01,C,3,2,2,2
English,S23,P2,Female,AF_01,C,4,3,3,4
English,S24,P2,Female,AF_01,C,4,3,4,4
English,S24,P5,Female,AF_01,NC,3,3,4,4
English,S24,P5,Female,AF_01,C,4,3,4,4
English,S24,P2,Female,AF_01,NC,5,2,3,2
English,S24,P6,Female,AF_01,C,4,3,3,3
English,S24,P6,Female,AF_01,NC,4,2,3,2
English,S27,P5,Female,AF_01,NC,4,4,5,6
English,S27,P2,Female,AF_01,C,5,3,6,5
English,S27,P5,Female,AF_01,C,2,1,6,5
English,S27,P6,Female,AF_01,C,5,4,6,6
English,S27,P6,Female,AF_01,NC,3,2,6,6
English,S27,P2,Female,AF_01,NC,5,3,6,6
English,S28,P6,Female,AF_01,C,2,2,5,3
English,S28,P2,Female,AF_01,NC,3,3,4,5
English,S28,P6,Female,AF_01,NC,2,2,3,2
English,S28,P5,Female,AF_01,C,6,5,4,5
English,S28,P5,Female,AF_01,NC,4,3,2,4
English,S28,P2,Female,AF_01,C,3,2,4,4
English,S29,P2,Female,AF_01,NC,5,4,2,3
English,S29,P5,Female,AF_01,C,5,4,2,3
English,S29,P2,Female,AF_01,C,4,3,3,3
English,S29,P5,Female,AF_01,NC,4,4,3,3
English,S29,P6,Female,AF_01,NC,5,5,5,5
English,S29,P6,Female,AF_01,C,4,4,2,2
English,S1,P5,Female,AF_06,C,1,1,3,4
English,S1,P2,Female,AF_06,C,4,2,2,4
English,S1,P11,Female,AF_06,C,2,2,4,3
English,S1,P5,Female,AF_06,NC,2,1,3,4
English,S1,P2,Female,AF_06,NC,4,3,5,5
English,S1,P11,Female,AF_06,NC,4,3,5,5
English,S2,P11,Female,AF_06,C,4,5,5,3
English,S2,P2,Female,AF_06,NC,2,2,1,2
English,S2,P2,Female,AF_06,C,2,1,2,3
English,S2,P5,Female,AF_06,C,1,1,2,2
English,S2,P5,Female,AF_06,NC,3,3,2,3
English,S2,P11,Female,AF_06,NC,3,3,3,2
English,S3,P5,Female,AF_06,NC,4,4,3,4
English,S3,P11,Female,AF_06,C,3,4,2,4
English,S3,P5,Female,AF_06,C,3,2,3,3
English,S3,P11,Female,AF_06,NC,4,3,3,5
English,S3,P2,Female,AF_06,C,3,3,3,4
English,S3,P2,Female,AF_06,NC,4,3,3,4
English,S4,P2,Female,AF_06,NC,3,3,3,4
English,S4,P11,Female,AF_06,NC,3,3,3,3
English,S4,P5,Female,AF_06,NC,4,3,3,4
English,S4,P11,Female,AF_06,C,5,4,4,4
English,S4,P5,Female,AF_06,C,4,4,3,4
English,S4,P2,Female,AF_06,C,4,4,2,4
English,S6,P2,Female,AF_06,NC,4,3,3,2
English,S6,P5,Female,AF_06,C,4,3,3,3
English,S6,P11,Female,AF_06,C,4,4,3,4
English,S6,P11,Female,AF_06,NC,3,3,4,3
English,S6,P5,Female,AF_06,NC,3,3,3,3
English,S6,P2,Female,AF_06,C,4,3,2,3
English,S7,P2,Female,AF_06,NC,5,4,4,5
English,S7,P5,Female,AF_06,NC,6,4,4,4
English,S7,P11,Female,AF_06,NC,5,4,3,5
English,S7,P11,Female,AF_06,C,5,5,3,4
English,S7,P2,Female,AF_06,C,3,4,2,4
English,S7,P5,Female,AF_06,C,3,4,4,4
English,S8,P2,Female,AF_06,NC,6,5,5,3
English,S8,P11,Female,AF_06,C,5,3,5,3
English,S8,P5,Female,AF_06,C,2,1,2,2
English,S8,P11,Female,AF_06,NC,5,2,4,2
English,S8,P2,Female,AF_06,C,5,2,3,2
