Language,Speaker,Task,Dial_List,Accent,Sentence,VQ,Vowel_type,Vowel,seg_Start,seg_End,H1_Mean,H1_1,H1_2,H1_3,H2_Mean,H2_1,H2_2,H2_3,H1H2_Mean,H1H2_1,H1H2_2,H1H2_3,H2H4_Mean,H2H4_1,H2H4_2,H2H4_3,H1A1_Mean,H1A1_1,H1A1_2,H1A1_3,H1A2_Mean,H1A2_1,H1A2_2,H1A2_3,H1A3_Mean,H1A3_1,H1A3_2,H1A3_3,CPP_Mean,CPP_1,CPP_2,CPP_3,F0_Mean,F0_1,F0_2,F0_3,CQ_H_Mean,CQ_H_1,CQ_H_2,CQ_H_3,peak_Vel_Mean,peak_Vel_1,peak_Vel_2,peak_Vel_3
English,S10,Reading,American,American,P1,M,Low,TRAP,889.668,1057.356,9.271,8.963,9.996,8.888,1.070,1.005,2.522,-0.240,8.201,7.957,7.474,9.128,7.173,6.782,6.556,8.140,29.835,25.272,30.011,34.217,27.415,21.484,29.832,31.066,28.767,22.653,29.735,33.978,24.334,23.444,24.708,24.934,137.141,140.242,135.888,135.235,0.834,0.827,0.831,0.843,129.670,136.251,127.905,125.283
English,S10,Reading,American,American,P11,M,High,KIT,795.324,905.563,7.202,7.060,9.742,4.927,1.704,1.474,5.360,-1.559,5.498,5.586,4.382,6.485,5.492,4.114,7.875,4.614,16.378,16.530,15.909,16.709,10.697,9.327,10.695,12.063,18.574,15.752,16.886,23.063,23.818,20.096,27.908,23.630,141.190,148.379,145.485,129.915,0.807,0.803,0.807,0.817,163.920,166.841,164.392,156.106
English,S10,Reading,American,American,P13,C,High,FLEECE,1149.929,1401.461,0.417,6.480,0.074,-5.367,-1.636,2.013,-1.526,-5.427,2.053,4.467,1.600,0.060,2.103,4.367,2.358,-0.428,7.523,16.223,6.001,0.326,10.575,9.045,9.662,13.020,13.349,19.142,14.179,6.711,17.643,21.752,16.778,14.380,183.730,169.819,178.354,203.233,0.809,0.760,0.872,0.753,177.702,215.629,155.958,130.542
English,S10,Reading,American,American,P14,M,High,KIT,1190.310,1334.709,5.986,5.709,7.971,4.321,0.534,0.478,3.636,-2.447,5.452,5.231,4.335,6.767,1.585,1.759,1.970,1.044,14.878,14.351,13.857,16.404,15.209,15.965,15.750,13.892,15.585,12.319,15.507,18.909,22.804,22.067,24.476,21.932,138.268,143.565,137.420,133.803,0.845,0.837,0.851,0.848,137.684,141.366,137.460,132.489
English,S10,Reading,American,American,P16,M,High,GOOSE,1157.189,1359.343,10.542,9.513,11.168,10.965,6.288,12.967,8.220,-2.389,4.254,-3.454,2.948,13.355,4.278,4.883,3.375,4.531,16.197,3.818,19.228,25.721,17.882,4.326,19.941,29.579,16.472,12.859,14.391,22.148,23.786,22.729,24.603,24.064,167.963,176.690,174.810,152.375,0.788,0.776,0.790,0.798,200.530,212.860,207.560,181.454
English,S10,Reading,American,American,P19,M,High,GOOSE,740.863,927.183,11.785,12.357,11.955,11.050,-2.605,-1.312,-2.217,-4.274,14.390,13.669,14.172,15.324,3.688,1.931,2.948,6.176,23.724,22.645,22.051,26.438,32.883,30.097,31.857,36.696,28.991,25.864,28.407,32.677,23.978,21.804,25.319,24.833,143.414,147.483,141.932,140.796,0.793,0.789,0.796,0.794,172.227,170.226,175.421,170.984
English,S10,Reading,American,American,P2,M,High,KIT,709.706,882.052,7.668,7.144,9.697,6.185,-0.128,1.076,1.343,-2.761,7.796,6.067,8.354,8.946,3.929,5.269,4.052,2.501,17.992,17.242,17.107,19.659,13.887,12.039,13.580,16.115,18.574,13.810,22.035,19.870,22.795,21.551,25.103,21.758,148.897,155.992,153.993,136.761,0.810,0.800,0.808,0.823,158.829,151.904,167.691,155.707
English,S10,Reading,American,American,P21,C,High,FLEECE,1098.992,1336.550,4.308,6.975,6.591,-0.534,-3.593,1.384,-6.522,-5.566,7.901,5.591,13.113,5.031,1.246,4.402,-0.665,0.027,13.733,15.264,19.701,6.398,11.327,8.519,13.943,11.530,13.036,12.658,15.572,10.898,21.121,24.378,21.982,17.049,157.474,159.321,146.031,166.719,0.819,0.793,0.813,0.869,185.987,216.913,177.392,149.109
English,S10,Reading,American,American,P22,C,High,FLEECE,1567.155,1789.186,0.973,5.605,1.842,-4.485,-1.599,-4.723,-2.569,2.525,2.572,10.328,4.410,-7.010,2.701,0.611,1.999,5.475,7.946,12.954,12.389,-1.469,14.117,15.098,14.752,12.466,4.971,9.445,0.762,4.641,18.953,20.772,18.290,17.792,116.063,148.046,120.530,79.499,0.805,0.805,0.851,0.737,179.461,201.332,172.685,157.558
English,S10,Reading,American,American,P23,M,High,GOOSE,816.766,1007.744,8.530,6.582,9.704,9.309,-2.577,-3.326,-1.538,-2.853,11.107,9.909,11.242,12.162,-1.044,-2.711,-0.731,0.291,12.204,12.709,11.466,12.430,19.327,17.108,20.108,20.752,18.624,16.243,18.833,20.759,25.461,23.490,26.836,26.024,166.659,175.507,164.949,159.621,0.784,0.783,0.784,0.784,206.664,217.744,210.492,192.751
English,S10,Reading,American,American,P24,C,High,GOOSE,1077.035,1317.699,8.420,9.443,9.957,5.921,-0.881,3.394,0.991,-6.919,9.302,6.049,8.967,12.839,1.937,4.186,2.101,-0.438,19.034,21.778,18.575,16.790,24.786,21.202,25.462,27.679,17.597,15.272,17.493,20.037,22.254,23.977,23.784,19.031,141.080,146.655,137.708,138.802,0.809,0.803,0.805,0.820,182.650,198.392,187.735,161.217
English,S10,Reading,American,American,P25,C,High,FLEECE,1587.312,1824.871,3.700,5.016,5.265,0.846,-2.044,0.870,-0.405,-6.574,5.744,4.145,5.670,7.420,1.956,3.706,3.164,-0.992,12.453,13.677,15.156,8.609,14.244,12.468,13.133,17.162,9.982,8.568,8.469,12.925,18.339,17.836,21.289,15.867,145.031,161.840,145.806,127.502,0.799,0.799,0.808,0.784,171.836,184.586,173.408,149.117
English,S10,Reading,American,American,P26,M,High,FLEECE,1475.262,1689.530,4.636,6.150,4.938,2.847,-8.232,-6.463,-11.913,-6.418,12.868,12.613,16.851,9.265,-1.075,1.237,-3.329,-1.194,18.747,19.915,20.425,15.984,12.450,9.911,14.935,12.527,19.226,18.322,22.968,16.539,20.009,22.194,19.445,18.365,141.414,142.781,138.728,142.677,0.818,0.805,0.829,0.820,151.025,166.310,141.713,142.011
